Date,Open,High,Low,Close,Adj Close,Volume
2019-12-13,1463.099976,1475.900024,1463.099976,1475.599976,1475.599976,468
2019-12-15,1480.000000,1480.800049,1478.099976,1478.400024,1478.400024,102610
2019-12-16,1473.800049,1475.300049,1473.800049,1475.000000,1475.000000,99
2019-12-17,1474.099976,1476.900024,1474.000000,1474.599976,1474.599976,410
2019-12-18,1472.599976,1472.599976,1472.599976,1472.599976,1472.599976,250
2019-12-19,1475.900024,1478.900024,1473.300049,1478.199951,1478.199951,319
2019-12-20,1476.699951,1478.099976,1474.699951,1474.699951,1474.699951,118
2019-12-22,1482.400024,1482.500000,1481.199951,1482.099976,1482.099976,72933
2019-12-23,1482.300049,1482.500000,1479.900024,1482.500000,1482.500000,391
2019-12-24,null,null,null,null,null,null
2019-12-26,1505.199951,1512.300049,1505.000000,1509.300049,1509.300049,126
2019-12-27,1513.800049,1513.800049,1513.800049,1513.800049,1513.800049,839
2019-12-29,1515.900024,1517.500000,1515.300049,1517.000000,1517.000000,128902
2019-12-30,1512.599976,1515.099976,1510.000000,1514.500000,1514.500000,446
2019-12-31,1513.800049,1523.400024,1513.800049,1519.500000,1519.500000,301
2020-01-02,1518.099976,1528.699951,1518.000000,1524.500000,1524.500000,214
2020-01-03,1530.099976,1552.699951,1530.099976,1549.199951,1549.199951,107
2020-01-05,1562.699951,1590.900024,1562.300049,1571.599976,1571.599976,1644577
2020-01-06,1580.000000,1580.000000,1560.400024,1566.199951,1566.199951,416
2020-01-07,1558.300049,1576.300049,1558.300049,1571.800049,1571.800049,47
2020-01-08,1579.699951,1604.199951,1552.300049,1557.400024,1557.400024,236
2020-01-09,1555.699951,1555.699951,1543.300049,1551.699951,1551.699951,54
2020-01-10,1551.199951,1558.800049,1545.400024,1557.500000,1557.500000,16
2020-01-12,1563.000000,1563.099976,1558.900024,1560.099976,1560.099976,212211
2020-01-13,1557.400024,1558.000000,1548.400024,1548.400024,1548.400024,48
2020-01-14,1546.699951,1546.699951,1534.900024,1542.400024,1542.400024,32
2020-01-15,1548.000000,1553.900024,1545.599976,1552.099976,1552.099976,11
2020-01-16,1555.699951,1556.099976,1548.500000,1549.000000,1549.000000,98
2020-01-17,1554.099976,1558.800049,1553.599976,1558.800049,1558.800049,108
2020-01-19,1557.300049,1559.099976,1555.900024,1557.000000,1557.000000,130204
2020-01-21,1559.300049,1566.199951,1551.000000,1556.400024,1556.400024,45
2020-01-22,1549.800049,1557.099976,1549.800049,1555.300049,1555.300049,42
2020-01-23,1553.099976,1564.599976,1552.199951,1564.599976,1564.599976,15
2020-01-24,1556.300049,1571.099976,1556.300049,1571.099976,1571.099976,43
2020-01-26,1580.500000,1588.400024,1578.699951,1581.900024,1581.900024,1035659
2020-01-27,1584.300049,1584.500000,1576.800049,1576.800049,1576.800049,22
